season,team_a,team_b,seed_a,seed_b,seed_diff,round_num,resume_diff,elo_diff,b_power_diff,r_score_diff,kadj_em_diff,bart_diff,preseason_em_diff,seed_champ_pct_diff,seed_a_upset_rate_vs_seed_b,season_upsets_round,season_upsets_total,h2h_win_pct,label
2008,Mt St Mary's,Coppin St,16.0,16.0,0.0,64.0,,,,,,,,0.0,0.5,6.0,9.0,0.5,1
2008,Coppin St,Mt St Mary's,16.0,16.0,0.0,64.0,,,,,,,,0.0,0.5,6.0,9.0,0.5,0
2008,Duke,Belmont,2.0,15.0,-13.0,64.0,172.0,-62.0,-135.0,99.9,25.04934,0.44699999999999995,,0.977,0.8888888888888888,6.0,9.0,0.5,1
2008,Belmont,Duke,15.0,2.0,13.0,64.0,-172.0,62.0,135.0,-99.9,-25.04934,-0.44699999999999995,,-0.977,0.1111111111111111,6.0,9.0,0.5,0
2008,Kansas,Portland St,1.0,16.0,-15.0,64.0,,,,,,,,0.9990000000000001,0.9577464788732395,6.0,9.0,0.5,1
2008,Portland St,Kansas,16.0,1.0,15.0,64.0,,,,,,,,-0.9990000000000001,0.04225352112676056,6.0,9.0,0.5,0
2008,Kansas St,USC,11.0,6.0,5.0,64.0,,,,,,,,-0.194,0.5074626865671642,6.0,9.0,0.5,1
2008,USC,Kansas St,6.0,11.0,-5.0,64.0,,,,,,,,0.194,0.4925373134328358,6.0,9.0,0.5,0
2008,Marquette,Kentucky,6.0,11.0,-5.0,64.0,2.0,-31.0,-67.0,66.5,12.14245,0.14900000000000002,,0.194,0.4925373134328358,6.0,9.0,0.5,1
2008,Kentucky,Marquette,11.0,6.0,5.0,64.0,-2.0,31.0,67.0,-66.5,-12.14245,-0.14900000000000002,,-0.194,0.5074626865671642,6.0,9.0,0.5,0
2008,Michigan St,Temple,5.0,12.0,-7.0,64.0,26.0,-11.0,-43.0,78.5,8.444899999999999,0.132,,0.464,0.5857142857142856,6.0,9.0,0.5,1
2008,Temple,Michigan St,12.0,5.0,7.0,64.0,-26.0,11.0,43.0,-78.5,-8.444899999999999,-0.132,,-0.464,0.4142857142857143,6.0,9.0,0.5,0
2008,Notre Dame,George Mason,5.0,12.0,-7.0,64.0,83.0,-57.0,-50.0,98.3,8.917399999999999,0.14200000000000002,,0.464,0.5857142857142856,6.0,9.0,0.5,1
2008,George Mason,Notre Dame,12.0,5.0,7.0,64.0,-83.0,57.0,50.0,-98.3,-8.917399999999999,-0.14200000000000002,,-0.464,0.4142857142857143,6.0,9.0,0.5,0
2008,Pittsburgh,Oral Roberts,4.0,13.0,-9.0,64.0,102.0,-34.0,-50.0,98.60000000000001,8.3793,0.139,,0.752,0.7777777777777778,6.0,9.0,0.5,1
2008,Oral Roberts,Pittsburgh,13.0,4.0,9.0,64.0,-102.0,34.0,50.0,-98.60000000000001,-8.3793,-0.139,,-0.752,0.2222222222222222,6.0,9.0,0.5,0
2008,Purdue,Baylor,6.0,11.0,-5.0,64.0,37.0,-29.0,-8.0,31.699999999999996,2.717299999999998,0.040000000000000036,,0.194,0.4925373134328358,6.0,9.0,0.5,1
2008,Baylor,Purdue,11.0,6.0,5.0,64.0,-37.0,29.0,8.0,-31.699999999999996,-2.717299999999998,-0.040000000000000036,,-0.194,0.5074626865671642,6.0,9.0,0.5,0
2008,Stanford,Cornell,3.0,14.0,-11.0,64.0,129.0,-44.0,-106.0,99.7,18.891759999999998,0.3320000000000001,,0.802,0.875,6.0,9.0,0.5,1
2008,Cornell,Stanford,14.0,3.0,11.0,64.0,-129.0,44.0,106.0,-99.7,-18.891759999999998,-0.3320000000000001,,-0.802,0.125,6.0,9.0,0.5,0
2008,Texas A&M,BYU,9.0,8.0,1.0,64.0,13.0,19.0,-12.0,-0.09999999999999432,3.5351,0.05400000000000005,,-0.03900000000000001,0.014492753623188406,6.0,9.0,0.5,1
2008,BYU,Texas A&M,8.0,9.0,-1.0,64.0,-13.0,-19.0,12.0,0.09999999999999432,-3.5351,-0.05400000000000005,,0.03900000000000001,0.9855072463768116,6.0,9.0,0.5,0
2008,UCLA,MS Valley St,1.0,16.0,-15.0,64.0,,,,,,,,0.9990000000000001,0.9577464788732395,6.0,9.0,0.5,1
2008,MS Valley St,UCLA,16.0,1.0,15.0,64.0,,,,,,,,-0.9990000000000001,0.04225352112676056,6.0,9.0,0.5,0
2008,UNLV,Kent,8.0,9.0,-1.0,64.0,,,,,,,,0.03900000000000001,0.9855072463768116,6.0,9.0,0.5,1
2008,Kent,UNLV,9.0,8.0,1.0,64.0,,,,,,,,-0.03900000000000001,0.014492753623188406,6.0,9.0,0.5,0
2008,Washington St,Winthrop,4.0,13.0,-9.0,64.0,,,,,,,,0.752,0.7777777777777778,6.0,9.0,0.5,1
2008,Winthrop,Washington St,13.0,4.0,9.0,64.0,,,,,,,,-0.752,0.2222222222222222,6.0,9.0,0.5,0
2008,West Virginia,Arizona,7.0,10.0,-3.0,64.0,-16.0,-30.0,1.0,5.0,-0.08709999999999951,0.009000000000000008,,0.091,0.5625,6.0,9.0,0.5,1
2008,Arizona,West Virginia,10.0,7.0,3.0,64.0,16.0,30.0,-1.0,-5.0,0.08709999999999951,-0.009000000000000008,,-0.091,0.4375,6.0,9.0,0.5,0
2008,Wisconsin,CS Fullerton,3.0,14.0,-11.0,64.0,,,,,,,,0.802,0.875,6.0,9.0,0.5,1
2008,CS Fullerton,Wisconsin,14.0,3.0,11.0,64.0,,,,,,,,-0.802,0.125,6.0,9.0,0.5,0
2008,Xavier,Georgia,3.0,14.0,-11.0,64.0,47.0,-82.0,-81.0,99.7,14.449990000000001,0.20500000000000007,,0.802,0.875,6.0,9.0,0.5,1
2008,Georgia,Xavier,14.0,3.0,11.0,64.0,-47.0,82.0,81.0,-99.7,-14.449990000000001,-0.20500000000000007,,-0.802,0.125,6.0,9.0,0.5,0
2008,Arkansas,Indiana,9.0,8.0,1.0,64.0,16.0,11.0,18.0,-3.0999999999999943,-4.6385999999999985,-0.04500000000000004,,-0.03900000000000001,0.014492753623188406,6.0,9.0,0.5,1
2008,Indiana,Arkansas,8.0,9.0,-1.0,64.0,-16.0,-11.0,-18.0,3.0999999999999943,4.6385999999999985,0.04500000000000004,,0.03900000000000001,0.9855072463768116,6.0,9.0,0.5,0
2008,Butler,South Alabama,7.0,10.0,-3.0,64.0,6.0,-32.0,-30.0,57.800000000000004,6.673599999999999,0.09399999999999997,,0.091,0.5625,6.0,9.0,0.5,1
2008,South Alabama,Butler,10.0,7.0,3.0,64.0,-6.0,32.0,30.0,-57.800000000000004,-6.673599999999999,-0.09399999999999997,,-0.091,0.4375,6.0,9.0,0.5,0
2008,Davidson,Gonzaga,10.0,7.0,3.0,64.0,-104.0,-14.0,-7.0,-83.6,1.2230999999999987,-0.0050000000000000044,,-0.091,0.4375,6.0,9.0,0.5,1
2008,Gonzaga,Davidson,7.0,10.0,-3.0,64.0,104.0,14.0,7.0,83.6,-1.2230999999999987,0.0050000000000000044,,0.091,0.5625,6.0,9.0,0.5,0
