season,team_a,team_b,seed_a,seed_b,seed_diff,round_num,resume_diff,elo_diff,b_power_diff,r_score_diff,kadj_em_diff,bart_diff,preseason_em_diff,seed_champ_pct_diff,seed_a_upset_rate_vs_seed_b,season_upsets_round,season_upsets_total,h2h_win_pct,h2h_point_diff,last10_win_pct_diff,last10_margin_diff,path_beaten_strength_diff,label
2008,Memphis,UCLA,1.0,1.0,0.0,2.0,-11.0,1.0,1.0,0.0,-1.1973999999999982,0.0030000000000000027,,0.0,0.5,0.0,0.0,0.5,0.0,0.0,7.5,0.5,1
2008,UCLA,Memphis,1.0,1.0,0.0,2.0,11.0,-1.0,-1.0,0.0,1.1973999999999982,-0.0030000000000000027,,0.0,0.5,0.0,0.0,0.5,0.0,0.0,-7.5,-0.5,0
2009,North Carolina,Villanova,1.0,3.0,-2.0,2.0,-1.0,-8.0,-14.0,0.20000000000000284,6.8492999999999995,0.03799999999999992,,0.19200000000000006,0.9,0.0,0.0,0.5,0.0,0.0,5.4,-2.0,1
2009,Villanova,North Carolina,3.0,1.0,2.0,2.0,1.0,8.0,14.0,-0.20000000000000284,-6.8492999999999995,-0.03799999999999992,,-0.19200000000000006,0.1,0.0,0.0,0.5,0.0,0.0,-5.4,2.0,0
2010,Duke,West Virginia,1.0,2.0,-1.0,2.0,-5.0,-1.0,-2.0,0.0,5.816700000000001,0.03399999999999992,,0.02200000000000013,0.9375,0.0,0.0,0.5,0.0,-0.09999999999999998,4.1,0.5,1
2010,West Virginia,Duke,2.0,1.0,1.0,2.0,5.0,1.0,2.0,0.0,-5.816700000000001,-0.03399999999999992,,-0.02200000000000013,0.0625,0.0,0.0,0.5,0.0,0.09999999999999998,-4.1,-0.5,0
2011,Kentucky,North Carolina,4.0,2.0,2.0,2.0,17.0,4.0,-7.0,0.09999999999999432,3.7284000000000006,0.026999999999999913,,-0.21899999999999997,0.1,0.0,0.0,0.0,-2.0,0.0,0.09999999999999964,6.0,1
2011,North Carolina,Kentucky,2.0,4.0,-2.0,2.0,-17.0,-4.0,7.0,-0.09999999999999432,-3.7284000000000006,-0.026999999999999913,,0.21899999999999997,0.9,0.0,0.0,1.0,2.0,0.0,-0.09999999999999964,-6.0,0
2012,Kansas,North Carolina,2.0,1.0,1.0,2.0,7.0,2.0,-2.0,0.0,0.6452999999999989,0.0040000000000000036,-5.940000000000001,-0.02200000000000013,0.0625,0.0,0.0,0.5,0.0,0.0,-2.0,3.5,1
2012,North Carolina,Kansas,1.0,2.0,-1.0,2.0,-7.0,-2.0,2.0,0.0,-0.6452999999999989,-0.0040000000000000036,5.940000000000001,0.02200000000000013,0.9375,0.0,0.0,0.5,0.0,0.0,2.0,-3.5,0
2013,Louisville,Duke,1.0,2.0,-1.0,2.0,-2.0,-7.0,-3.0,0.0,4.417100000000001,0.019000000000000017,-0.9300000000000033,0.02200000000000013,0.9375,0.0,0.0,0.0,-5.0,0.19999999999999996,4.700000000000001,-1.0,1
2013,Duke,Louisville,2.0,1.0,1.0,2.0,2.0,7.0,3.0,0.0,-4.417100000000001,-0.019000000000000017,0.9300000000000033,-0.02200000000000013,0.0625,0.0,0.0,1.0,5.0,-0.19999999999999996,-4.700000000000001,1.0,0
2014,Connecticut,Michigan St,7.0,4.0,3.0,2.0,-7.0,5.0,14.0,-0.6000000000000085,-4.6724,-0.03500000000000003,-4.400000000000002,-0.532,0.1,0.0,0.0,0.5,0.0,0.10000000000000009,-3.4000000000000004,6.5,1
2014,Michigan St,Connecticut,4.0,7.0,-3.0,2.0,7.0,-5.0,-14.0,0.6000000000000085,4.6724,0.03500000000000003,4.400000000000002,0.532,0.9,0.0,0.0,0.5,0.0,-0.10000000000000009,3.4000000000000004,-6.5,0
2015,Duke,Gonzaga,1.0,2.0,-1.0,2.0,19.0,-1.0,-1.0,0.0,0.3835000000000015,0.014000000000000012,9.57,0.02200000000000013,0.9375,0.0,0.0,0.5,0.0,0.0,4.099999999999998,-1.0,1
2015,Gonzaga,Duke,2.0,1.0,1.0,2.0,-19.0,1.0,1.0,0.0,-0.3835000000000015,-0.014000000000000012,-9.57,-0.02200000000000013,0.0625,0.0,0.0,0.5,0.0,0.0,-4.099999999999998,1.0,0
2016,North Carolina,Notre Dame,1.0,6.0,-5.0,2.0,7.0,-45.0,-33.0,3.3000000000000114,12.056600000000001,0.118,2.969999999999999,0.687,0.9,0.0,0.0,0.5,13.5,0.30000000000000004,14.600000000000001,0.0,1
2016,Notre Dame,North Carolina,6.0,1.0,5.0,2.0,-7.0,45.0,33.0,-3.3000000000000114,-12.056600000000001,-0.118,-2.969999999999999,-0.687,0.1,0.0,0.0,0.5,-13.5,-0.30000000000000004,-14.600000000000001,0.0,0
