season,team_a,team_b,seed_a,seed_b,seed_diff,round_num,resume_diff,elo_diff,b_power_diff,r_score_diff,kadj_em_diff,bart_diff,preseason_em_diff,seed_champ_pct_diff,seed_a_upset_rate_vs_seed_b,season_upsets_round,season_upsets_total,h2h_win_pct,h2h_point_diff,last10_win_pct_diff,last10_margin_diff,path_beaten_strength_diff,label
2008,WKU,San Diego,12.0,13.0,-1.0,16.0,,,,,,,,0.04,0.9166666666666666,1.0,9.0,0.5,0.0,0.09999999999999998,4.499999999999999,-1.0,1
2008,San Diego,WKU,13.0,12.0,1.0,16.0,,,,,,,,-0.04,0.08333333333333333,1.0,9.0,0.5,0.0,-0.09999999999999998,-4.499999999999999,1.0,0
2008,Louisville,Tennessee,3.0,2.0,1.0,16.0,-2.0,9.0,-4.0,-0.20000000000000284,0.8608000000000011,0.0010000000000000009,,-0.16999999999999993,0.043478260869565216,1.0,9.0,0.5,0.0,0.0,1.8000000000000007,1.0,1
2008,Tennessee,Louisville,2.0,3.0,-1.0,16.0,2.0,-9.0,4.0,0.20000000000000284,-0.8608000000000011,-0.0010000000000000009,,0.16999999999999993,0.9565217391304348,1.0,9.0,0.5,0.0,0.0,-1.8000000000000007,-1.0,0
2008,North Carolina,Washington St,1.0,4.0,-3.0,16.0,,,,,,,,0.2410000000000001,0.6666666666666667,1.0,9.0,0.5,0.0,0.30000000000000004,7.3,-3.5,1
2008,Washington St,North Carolina,4.0,1.0,3.0,16.0,,,,,,,,-0.2410000000000001,0.3333333333333333,1.0,9.0,0.5,0.0,-0.30000000000000004,-7.3,3.5,0
2008,UCLA,WKU,1.0,12.0,-11.0,16.0,,,,,,,,0.9530000000000001,0.9285714285714286,1.0,9.0,0.5,0.0,0.09999999999999998,2.9000000000000004,-7.5,1
2008,WKU,UCLA,12.0,1.0,11.0,16.0,,,,,,,,-0.9530000000000001,0.07142857142857142,1.0,9.0,0.5,0.0,-0.09999999999999998,-2.9000000000000004,7.5,0
2008,Xavier,West Virginia,3.0,7.0,-4.0,16.0,25.0,-16.0,-7.0,2.9000000000000057,2.205300000000001,0.015000000000000013,,0.5810000000000001,0.6666666666666667,1.0,9.0,0.5,0.0,0.0,2.299999999999999,-4.0,1
2008,West Virginia,Xavier,7.0,3.0,4.0,16.0,-25.0,16.0,7.0,-2.9000000000000057,-2.205300000000001,-0.015000000000000013,,-0.5810000000000001,0.3333333333333333,1.0,9.0,0.5,0.0,0.0,-2.299999999999999,4.0,0
2008,Davidson,Wisconsin,10.0,3.0,7.0,16.0,-129.0,9.0,12.0,-89.7,-6.857499999999998,-0.06599999999999995,,-0.672,0.16666666666666666,1.0,9.0,0.5,0.0,0.0,3.1999999999999993,8.0,1
2008,Wisconsin,Davidson,3.0,10.0,-7.0,16.0,129.0,-9.0,-12.0,89.7,6.857499999999998,0.06599999999999995,,0.672,0.8333333333333334,1.0,9.0,0.5,0.0,0.0,-3.1999999999999993,-8.0,0
2008,Kansas,Villanova,1.0,12.0,-11.0,16.0,25.0,-43.0,-54.0,39.10000000000001,20.983600000000003,0.17299999999999993,,0.9530000000000001,0.9285714285714286,1.0,9.0,0.5,0.0,0.20000000000000007,12.700000000000001,-3.0,1
2008,Villanova,Kansas,12.0,1.0,11.0,16.0,-25.0,43.0,54.0,-39.10000000000001,-20.983600000000003,-0.17299999999999993,,-0.9530000000000001,0.07142857142857142,1.0,9.0,0.5,0.0,-0.20000000000000007,-12.700000000000001,3.0,0
2008,Memphis,Michigan St,1.0,5.0,-4.0,16.0,5.0,-21.0,-14.0,0.5,8.496500000000001,0.052999999999999936,,0.4890000000000001,0.631578947368421,1.0,9.0,0.5,0.0,0.20000000000000007,7.200000000000001,-4.0,1
2008,Michigan St,Memphis,5.0,1.0,4.0,16.0,-5.0,21.0,14.0,-0.5,-8.496500000000001,-0.052999999999999936,,-0.4890000000000001,0.3684210526315789,1.0,9.0,0.5,0.0,-0.20000000000000007,-7.200000000000001,4.0,0
2009,Xavier,Wisconsin,4.0,12.0,-8.0,16.0,17.0,-31.0,-4.0,31.599999999999994,1.129999999999999,0.018000000000000016,,0.712,0.9230769230769231,0.0,9.0,0.5,0.0,-0.09999999999999998,3.5999999999999996,-8.0,1
2009,Wisconsin,Xavier,12.0,4.0,8.0,16.0,-17.0,31.0,4.0,-31.599999999999994,-1.129999999999999,-0.018000000000000016,,-0.712,0.07692307692307693,0.0,9.0,0.5,0.0,0.09999999999999998,-3.5999999999999996,8.0,0
2009,Connecticut,Purdue,1.0,5.0,-4.0,16.0,6.0,-10.0,-11.0,0.7000000000000028,6.0764,0.030999999999999917,,0.4890000000000001,0.631578947368421,0.0,9.0,0.5,0.0,0.0,5.700000000000001,-4.5,1
2009,Purdue,Connecticut,5.0,1.0,4.0,16.0,-6.0,10.0,11.0,-0.7000000000000028,-6.0764,-0.030999999999999917,,-0.4890000000000001,0.3684210526315789,0.0,9.0,0.5,0.0,0.0,-5.700000000000001,4.5,0
2009,Missouri,Memphis,3.0,2.0,1.0,16.0,17.0,7.0,8.0,-0.10000000000000853,-5.9558,-0.026000000000000023,,-0.16999999999999993,0.043478260869565216,0.0,9.0,0.5,0.0,-0.19999999999999996,-8.8,2.5,1
2009,Memphis,Missouri,2.0,3.0,-1.0,16.0,-17.0,-7.0,-8.0,0.10000000000000853,5.9558,0.026000000000000023,,0.16999999999999993,0.9565217391304348,0.0,9.0,0.5,0.0,0.19999999999999996,8.8,-2.5,0
2009,Pittsburgh,Xavier,1.0,4.0,-3.0,16.0,22.0,-23.0,-23.0,1.2000000000000028,10.3826,0.06299999999999994,,0.2410000000000001,0.6666666666666667,0.0,9.0,0.5,0.0,0.10000000000000009,-4.5,1.0,1
