season,team_a,team_b,seed_a,seed_b,seed_diff,round_num,resume_diff,elo_diff,b_power_diff,r_score_diff,kadj_em_diff,bart_diff,preseason_em_diff,seed_champ_pct_diff,seed_a_upset_rate_vs_seed_b,season_upsets_round,season_upsets_total,h2h_win_pct,h2h_point_diff,last10_win_pct_diff,last10_margin_diff,path_beaten_strength_diff,label
2008,Memphis,Texas,1.0,2.0,-1.0,4.0,-9.0,-5.0,-5.0,0.09999999999999432,4.526600000000002,0.028000000000000025,,0.02200000000000013,0.9444444444444444,0.0,9.0,0.5,0.0,0.19999999999999996,10.2,-1.0,1
2008,Texas,Memphis,2.0,1.0,1.0,4.0,9.0,5.0,5.0,-0.09999999999999432,-4.526600000000002,-0.028000000000000025,,-0.02200000000000013,0.05555555555555555,0.0,9.0,0.5,0.0,-0.19999999999999996,-10.2,1.0,0
2008,Kansas,North Carolina,1.0,1.0,0.0,4.0,-9.0,3.0,-3.0,-0.09999999999999432,5.8201,0.025000000000000022,,0.0,0.5,0.0,9.0,0.5,0.0,0.0,2.4000000000000004,0.5,1
2008,North Carolina,Kansas,1.0,1.0,0.0,4.0,9.0,-3.0,3.0,0.09999999999999432,-5.8201,-0.025000000000000022,,0.0,0.5,0.0,9.0,0.5,0.0,0.0,-2.4000000000000004,-0.5,0
2009,North Carolina,Oklahoma,1.0,2.0,-1.0,4.0,-6.0,-7.0,-9.0,0.0,5.269200000000001,0.027999999999999914,,0.02200000000000013,0.9444444444444444,0.0,9.0,0.5,0.0,0.20000000000000007,6.3,0.5,1
2009,Oklahoma,North Carolina,2.0,1.0,1.0,4.0,6.0,7.0,9.0,0.0,-5.269200000000001,-0.027999999999999914,,-0.02200000000000013,0.05555555555555555,0.0,9.0,0.5,0.0,-0.20000000000000007,-6.3,-0.5,0
2009,Michigan St,Connecticut,2.0,1.0,1.0,4.0,6.0,1.0,10.0,0.0,-5.257199999999997,-0.03299999999999992,,-0.02200000000000013,0.05555555555555555,0.0,9.0,0.5,0.0,0.20000000000000007,-4.0,0.0,1
2009,Connecticut,Michigan St,1.0,2.0,-1.0,4.0,-6.0,-1.0,-10.0,0.0,5.257199999999997,0.03299999999999992,,0.02200000000000013,0.9444444444444444,0.0,9.0,0.5,0.0,-0.20000000000000007,4.0,0.0,0
2010,Michigan St,Tennessee,5.0,6.0,-1.0,4.0,-1.0,14.0,-18.0,-1.7999999999999972,2.9046999999999983,0.018000000000000016,,0.198,0.9,0.0,16.0,0.5,0.0,0.0,2.0,4.5,1
2010,Tennessee,Michigan St,6.0,5.0,1.0,4.0,1.0,-14.0,18.0,1.7999999999999972,-2.9046999999999983,-0.018000000000000016,,-0.198,0.1,0.0,16.0,0.5,0.0,0.0,-2.0,-4.5,0
2010,Butler,Michigan St,5.0,5.0,0.0,4.0,-4.0,-29.0,2.0,2.5,-0.2680000000000007,-0.006000000000000005,,0.0,0.5,0.0,16.0,0.5,0.0,0.19999999999999996,7.3999999999999995,-4.5,1
2010,Michigan St,Butler,5.0,5.0,0.0,4.0,4.0,29.0,-2.0,-2.5,0.2680000000000007,0.006000000000000005,,0.0,0.5,0.0,16.0,0.5,0.0,-0.19999999999999996,-7.3999999999999995,4.5,0
